transaction_id,amount,transaction_hour,transaction_day,merchant_category,payment_method,device_type,customer_age,account_age_days,previous_transactions,failed_attempts,transactions_last_24h,average_transaction_amount,distance_from_usual_location,is_new_device,is_international,ip_risk_score,velocity_score,previous_fraud_count,fraud_label
TXN100057,642.72,6,3,utilities,upi,tablet,26,1037,27,0,5,554.09,1.69,0,0,3.59,22.34,0,0
TXN100058,550.9,15,1,fashion,upi,mobile,60,705,23,0,2,565.82,25.8,1,0,2.66,17.18,0,0
TXN100059,64.63,15,0,healthcare,emi,pos,56,546,26,0,4,187.35,1.6,0,0,20.56,0.0,0,0
TXN100060,229.98,17,0,healthcare,wallet,desktop,70,2190,19,0,1,94.16,9.21,0,0,0.0,5.2,0,0
TXN100061,208.28,9,2,utilities,netbanking,mobile,60,2948,16,0,2,919.82,28.03,0,0,7.62,7.06,0,0
TXN100062,1309.51,9,0,entertainment,netbanking,desktop,38,3563,31,0,2,1471.34,2.09,0,0,23.94,14.38,0,0
TXN100063,345.32,18,2,travel,wallet,mobile,73,120,26,0,0,392.22,6.88,0,1,17.32,21.02,0,0
TXN100064,944.65,9,4,travel,netbanking,desktop,41,7,20,0,4,920.04,3.69,0,0,11.45,24.71,0,0
TXN100065,534.46,5,4,education,card,mobile,36,2478,24,0,2,2467.78,3.55,0,0,0.0,3.87,0,0
TXN100066,945.0,1,4,utilities,emi,tablet,69,984,23,0,3,486.94,6.9,0,0,0.0,22.02,0,0
TXN100067,402.13,5,5,travel,wallet,mobile,39,1737,15,0,3,295.7,10.56,0,0,16.58,21.73,0,0
TXN100068,2140.23,12,2,electronics,emi,tablet,22,288,26,0,4,1646.94,8.77,0,0,20.85,20.03,0,0
TXN100069,2444.25,21,1,fashion,upi,pos,44,275,23,0,2,3642.81,20.58,0,0,3.96,42.6,0,0
TXN100070,1789.59,16,3,healthcare,wallet,mobile,63,1928,25,0,2,993.58,3.98,0,1,19.17,14.09,0,0
TXN100071,226.78,19,5,fashion,card,desktop,28,2513,33,0,1,729.94,2.61,0,0,0.0,14.95,0,0
TXN100072,485.75,7,6,electronics,netbanking,mobile,44,3234,18,0,1,211.11,0.51,0,0,20.65,6.14,0,0
TXN100073,634.71,19,0,entertainment,emi,pos,25,1763,17,0,3,189.49,10.8,0,0,14.13,8.2,0,0
TXN100074,5413.46,0,2,gaming,wallet,mobile,57,2356,19,0,1,1950.92,46.74,0,0,0.0,20.94,0,0
TXN100075,443.47,23,6,gaming,emi,pos,45,3139,19,0,3,516.5,26.48,0,1,23.47,21.8,0,0
TXN100076,1111.46,7,5,healthcare,card,pos,36,1576,21,0,1,492.52,0.64,0,0,54.83,29.56,1,0
TXN100077,595.94,7,6,utilities,card,desktop,30,762,32,0,0,353.65,12.31,0,0,40.87,10.57,0,0
TXN100078,112.5,20,6,fashion,wallet,mobile,50,3012,22,0,3,957.05,31.39,0,0,27.02,8.35,0,0
TXN100079,1034.08,0,1,healthcare,card,desktop,56,9,22,1,2,1406.6,8.43,1,0,30.8,18.92,0,1
TXN100080,847.13,20,0,gaming,upi,mobile,71,1007,27,1,1,363.47,56.0,0,0,18.62,22.64,0,0
TXN100081,385.41,19,6,education,upi,mobile,42,477,25,0,1,674.75,14.05,0,0,30.9,23.73,0,0
TXN100082,657.41,10,6,healthcare,card,mobile,27,2349,26,0,2,940.28,1.98,0,0,22.5,6.47,0,0
TXN100083,430.91,23,2,entertainment,card,pos,65,984,23,0,1,439.72,1.74,0,0,17.58,7.28,0,0
TXN100084,825.63,14,4,gaming,netbanking,mobile,53,1257,23,0,1,400.91,7.19,1,0,17.66,0.05,0,0
TXN100085,1069.99,14,0,electronics,upi,tablet,57,2381,28,1,4,384.41,14.23,0,0,15.81,19.86,0,0
TXN100086,211.34,4,0,grocery,emi,mobile,23,1081,22,0,2,356.67,10.33,0,0,10.6,22.33,0,0
TXN100087,636.39,13,1,entertainment,wallet,tablet,35,1324,27,0,1,641.62,7.76,0,0,1.68,33.03,0,0
TXN100088,1044.76,7,1,entertainment,wallet,desktop,61,1822,29,0,1,880.2,78.92,1,0,21.3,6.28,0,1
TXN100089,532.63,21,1,gaming,upi,pos,65,432,27,0,2,895.14,23.67,0,0,32.47,11.57,0,0
TXN100090,475.12,21,6,education,wallet,desktop,42,3413,20,2,0,334.39,30.91,0,0,10.88,34.05,0,0
TXN100091,30703.09,6,6,utilities,upi,pos,63,3582,28,0,2,12444.16,0.11,0,0,16.91,5.82,0,0
TXN100092,2196.86,4,3,gaming,wallet,tablet,65,2602,20,0,0,1940.49,30.6,0,0,12.92,33.06,0,0
TXN100093,244.15,21,0,utilities,emi,tablet,40,395,21,0,1,627.08,27.21,0,0,0.0,23.43,0,0
TXN100094,534.9,22,5,entertainment,upi,pos,69,1724,27,1,1,909.67,5.37,0,0,5.46,3.95,0,0
TXN100095,1365.69,15,0,education,emi,tablet,34,1296,25,0,1,1020.59,13.84,0,1,20.27,4.63,0,0
TXN100096,1201.93,13,1,travel,netbanking,desktop,31,608,35,0,1,1123.4,20.69,0,0,7.95,25.42,0,0
TXN100097,271.67,7,4,healthcare,upi,mobile,56,3199,19,1,3,357.9,37.93,0,0,52.6,37.23,0,0
TXN100098,843.92,13,3,utilities,emi,pos,54,1515,31,0,0,1547.91,2.09,0,0,21.49,0.1,0,0
TXN100099,3635.13,20,6,food_delivery,upi,mobile,25,2382,23,0,2,3142.18,27.55,0,0,19.9,20.56,0,0
TXN100100,553.04,12,3,education,card,tablet,65,2522,23,0,0,1201.76,16.05,0,0,0.0,7.93,0,0
TXN100101,1270.27,13,3,education,wallet,tablet,29,1167,32,0,1,729.27,32.35,0,0,4.73,19.02,0,0
TXN100102,1131.7,23,2,healthcare,emi,desktop,63,1273,24,1,4,1160.66,4.37,0,0,33.71,28.56,0,0
TXN100103,514.58,10,4,electronics,wallet,desktop,18,3541,22,0,0,484.81,3.33,0,0,13.72,31.41,0,0
TXN100104,7545.31,21,6,electronics,netbanking,pos,63,3009,27,1,0,2519.08,8.35,0,0,15.31,15.2,0,0
TXN100105,586.43,22,0,education,wallet,mobile,62,1829,20,0,1,485.99,16.02,0,0,29.35,19.99,0,1
TXN100106,1033.34,21,6,entertainment,upi,tablet,62,1948,21,0,2,284.88,21.71,0,0,0.0,2.97,0,0
TXN100107,457.37,10,2,fashion,netbanking,desktop,55,30,22,0,1,658.43,27.52,0,0,24.47,22.58,0,0
TXN100108,148.37,19,1,fashion,wallet,pos,44,746,33,0,1,266.23,9.88,0,0,8.94,11.31,0,0
TXN100109,430.47,9,2,electronics,netbanking,pos,58,23,27,0,2,779.92,1.41,1,0,2.97,14.95,0,1
TXN100110,875.21,2,2,grocery,emi,mobile,33,2941,25,0,0,465.11,4.9,1,0,21.34,9.11,0,0
TXN100111,1582.06,19,6,grocery,netbanking,tablet,62,3434,26,0,0,945.7,21.99,0,0,48.96,10.21,0,0
TXN100112,175.61,23,4,gaming,wallet,mobile,49,592,24,0,2,97.82,19.13,0,0,27.41,11.97,0,0
TXN100113,302.75,5,1,gaming,upi,mobile,44,1027,19,0,1,446.35,8.6,1,0,10.75,10.84,0,0
TXN100114,240.8,23,1,entertainment,emi,tablet,46,1286,19,0,2,1025.19,20.44,0,0,3.88,5.96,0,0
TXN100115,1929.31,3,4,food_delivery,upi,tablet,50,2964,21,0,4,1008.57,21.83,0,0,39.98,0.0,2,0
TXN100116,967.39,18,1,electronics,upi,tablet,20,1487,20,0,2,1626.63,14.24,0,0,33.73,10.31,0,0
TXN100117,169.53,23,4,healthcare,emi,tablet,25,159,33,0,1,241.54,3.27,0,0,22.61,0.0,0,0
TXN100118,270.27,3,3,healthcare,card,desktop,31,2138,25,1,0,843.27,2.51,0,0,10.02,32.54,0,0
TXN100119,169.14,13,0,grocery,netbanking,desktop,24,537,16,0,2,164.3,0.52,0,0,4.3,33.19,1,0
TXN100120,67.6,13,5,food_delivery,netbanking,pos,43,2355,17,1,4,418.97,46.45,0,0,32.49,0.88,0,0
TXN100121,165.67,16,4,gaming,netbanking,tablet,56,3127,23,0,2,276.22,1.02,0,0,34.05,11.54,0,0
TXN100122,619.09,22,0,electronics,netbanking,tablet,55,247,23,0,0,418.64,24.22,0,0,0.0,0.63,0,0
TXN100123,626.38,15,1,education,card,tablet,44,3628,23,0,0,796.73,13.28,0,0,24.82,25.61,0,0
TXN100124,345.76,2,1,grocery,netbanking,tablet,66,2420,26,0,1,802.82,63.57,0,0,23.16,8.21,0,0
TXN100125,1231.26,22,4,education,wallet,desktop,50,190,24,0,2,1793.42,1.71,0,0,20.3,30.52,0,0
TXN100126,781.44,5,5,education,netbanking,tablet,22,803,26,0,2,495.75,1.68,0,0,54.63,13.91,0,0
TXN100127,192.16,6,1,entertainment,upi,pos,61,612,22,0,0,240.67,6.77,0,0,0.0,31.74,0,0
TXN100128,911.49,18,5,education,wallet,pos,50,3225,25,1,2,646.87,12.64,1,0,28.78,0.0,1,1
TXN100129,1742.95,22,1,fashion,emi,desktop,54,2638,29,0,3,3872.33,6.75,0,0,11.89,10.66,0,0
TXN100130,139.21,11,5,entertainment,netbanking,tablet,50,1361,25,0,1,111.78,10.5,0,0,6.12,14.32,1,0
TXN100131,2840.78,19,2,fashion,emi,pos,49,1933,22,0,2,1540.99,30.45,0,0,42.81,34.25,0,1
TXN100132,5301.31,11,0,education,upi,mobile,23,1272,18,0,1,4844.63,3.75,1,0,18.58,16.0,0,0
TXN100133,459.48,4,2,grocery,wallet,desktop,49,1482,23,1,3,308.63,4.87,1,0,0.0,15.75,0,0
TXN100134,340.16,8,0,fashion,netbanking,desktop,63,2329,21,1,1,436.87,4.79,0,0,25.69,29.01,0,0
TXN100135,1537.89,16,3,food_delivery,emi,pos,35,710,25,0,1,1297.25,16.27,0,0,0.15,26.67,0,0
TXN100136,1122.34,14,4,healthcare,emi,pos,52,2773,36,0,2,336.41,19.63,0,0,29.03,2.5,0,0
TXN100137,5183.42,22,2,gaming,netbanking,mobile,19,3450,35,0,0,4792.99,41.37,0,0,2.6,35.29,0,0
TXN100138,117.31,12,0,food_delivery,wallet,desktop,37,3555,28,1,0,173.27,12.28,0,0,2.96,33.93,0,0
TXN100139,2611.16,23,3,fashion,wallet,desktop,42,629,27,0,2,898.63,2.31,0,0,12.01,3.03,0,0
TXN100140,2881.4,7,6,utilities,netbanking,tablet,74,1503,18,0,3,1097.24,19.28,0,0,10.51,20.4,0,0
TXN100141,483.94,5,0,grocery,emi,tablet,30,968,20,0,1,460.86,7.42,1,0,8.38,21.15,0,0
TXN100142,909.98,1,1,travel,card,mobile,33,2317,26,0,3,1255.17,7.93,0,0,0.0,4.69,0,0
TXN100143,1145.19,6,0,electronics,emi,pos,41,1184,21,0,1,1231.79,8.03,0,0,0.0,14.61,0,0
TXN100144,1519.48,18,0,healthcare,wallet,tablet,74,1441,27,1,0,573.12,17.06,0,0,25.81,25.64,0,0
TXN100145,161.42,4,0,food_delivery,emi,pos,66,506,27,0,1,260.19,28.96,0,0,0.0,20.87,0,0
TXN100146,2111.75,17,5,grocery,emi,mobile,19,2044,19,0,3,436.97,22.02,0,0,51.0,9.1,0,0
TXN100147,950.74,2,0,grocery,netbanking,tablet,31,1957,27,0,2,1688.01,7.97,0,0,34.26,21.61,0,0
TXN100148,887.59,7,0,utilities,card,desktop,64,2013,26,0,2,1401.75,4.41,0,0,41.97,0.0,0,0
TXN100149,369.56,0,0,utilities,netbanking,desktop,21,1246,24,1,2,726.45,43.66,0,0,8.51,25.86,0,0
TXN100150,611.06,13,1,travel,card,mobile,66,2759,22,0,0,768.9,50.03,0,0,0.0,18.25,0,0
TXN100151,2841.75,23,5,entertainment,wallet,tablet,34,2219,21,0,1,788.41,4.8,0,0,18.68,0.0,1,0
TXN100152,565.91,5,1,entertainment,upi,mobile,70,645,25,0,3,883.81,18.73,0,0,25.2,28.97,0,0
TXN100153,681.97,13,1,gaming,card,pos,34,1343,29,1,1,600.95,18.21,0,0,18.19,22.8,0,0
TXN100154,915.19,11,5,healthcare,netbanking,pos,42,2411,22,2,4,327.7,28.71,0,0,27.77,0.0,0,0
TXN100155,12665.16,0,4,fashion,wallet,pos,55,425,33,0,1,4473.98,2.31,1,0,0.0,16.38,0,0
TXN100156,951.01,0,1,travel,netbanking,mobile,25,1286,23,0,3,1615.41,7.67,0,0,7.67,0.0,0,0
TXN100157,726.64,13,1,travel,card,mobile,49,3185,28,0,1,986.38,0.83,0,0,30.36,15.77,0,0
TXN100158,1819.14,21,5,healthcare,wallet,tablet,46,1612,21,0,3,537.37,11.36,0,1,0.0,11.67,0,0
TXN100159,296.4,16,6,grocery,upi,desktop,62,1860,23,1,0,549.77,0.91,0,0,41.27,9.05,0,0
TXN100160,2793.1,7,3,healthcare,card,mobile,74,2487,20,0,4,650.11,14.41,0,0,34.94,39.01,0,0
TXN100161,1131.53,11,1,utilities,netbanking,desktop,55,1175,28,0,1,3117.36,13.74,0,0,8.73,22.98,1,0
TXN100162,221.37,17,6,grocery,card,desktop,41,3016,31,0,1,305.63,18.15,0,0,11.61,3.65,0,0
TXN100163,292.28,16,0,travel,wallet,tablet,41,60,26,0,1,770.5,10.09,0,0,9.13,2.96,0,0
TXN100164,2982.15,5,5,healthcare,wallet,pos,41,1725,32,0,0,383.4,15.58,1,0,34.38,12.61,0,1
TXN100165,219.84,6,3,healthcare,wallet,tablet,64,2182,26,0,0,234.61,19.81,0,0,10.46,10.9,0,0
TXN100166,1822.28,20,0,healthcare,wallet,desktop,36,873,32,0,1,2558.62,42.36,0,0,26.85,8.44,0,0
TXN100167,3367.11,5,0,travel,card,mobile,27,2856,33,1,1,518.98,0.74,0,0,0.0,7.41,2,0
TXN100168,442.45,7,2,food_delivery,card,pos,37,290,24,1,1,242.96,5.61,0,1,15.03,16.55,0,0
TXN100169,936.6,13,1,grocery,upi,pos,19,2373,25,0,1,755.96,5.32,0,0,18.05,10.92,0,0
TXN100170,1730.62,13,5,travel,card,mobile,24,2312,25,0,2,722.56,2.78,0,0,35.37,0.0,0,0
TXN100171,469.93,12,1,electronics,netbanking,mobile,23,2875,28,0,1,253.49,3.37,0,0,37.97,25.98,0,0
TXN100172,6562.41,6,1,electronics,emi,tablet,61,756,17,0,0,2274.1,3.97,0,0,34.44,13.9,0,0
TXN100173,1912.63,15,3,entertainment,netbanking,tablet,59,566,31,0,2,2510.23,13.62,0,0,15.85,4.82,0,0
TXN100174,489.08,17,0,healthcare,card,desktop,57,2119,26,0,2,599.53,13.86,0,0,25.5,8.01,0,0
TXN100175,3964.45,20,0,travel,emi,desktop,44,3546,29,0,3,1811.99,29.06,0,0,0.0,19.46,0,0
TXN100176,220.65,11,4,entertainment,wallet,tablet,58,2865,21,2,3,357.04,25.38,0,0,42.88,9.11,0,0
TXN100177,410.83,4,0,utilities,upi,desktop,27,772,36,0,2,362.78,4.8,0,0,15.52,34.14,0,0
TXN100178,6307.72,18,2,gaming,emi,pos,69,1489,31,0,1,3164.54,0.32,0,0,20.37,10.91,3,0
TXN100179,1968.82,23,6,electronics,netbanking,pos,46,974,30,0,2,895.71,0.04,0,0,3.27,0.0,0,0
TXN100180,3554.56,0,6,utilities,netbanking,desktop,71,2846,22,1,0,999.54,8.06,0,0,26.06,9.9,0,0
TXN100181,640.9,20,0,education,card,desktop,26,1870,24,0,2,251.8,3.45,0,0,16.33,8.47,0,0
TXN100182,225.37,8,3,healthcare,wallet,pos,46,1597,21,0,0,197.96,14.57,0,0,48.65,22.91,0,0
TXN100183,1814.44,9,6,food_delivery,emi,pos,57,19,26,0,0,2009.07,62.56,0,0,33.62,3.11,0,0
TXN100184,38.66,23,4,gaming,wallet,pos,46,2313,19,0,6,69.79,4.45,0,0,40.84,5.17,0,0
TXN100185,1953.07,5,0,gaming,card,mobile,43,1615,25,0,1,1317.47,5.53,0,0,21.45,15.48,0,0
TXN100186,4536.23,17,2,food_delivery,netbanking,tablet,27,145,33,0,3,4603.21,17.77,0,0,24.07,25.23,0,0
TXN100187,2190.1,4,3,electronics,upi,mobile,39,715,22,0,0,658.2,12.12,0,0,18.33,22.62,0,0
TXN100188,1476.82,1,1,entertainment,netbanking,pos,31,2651,22,0,5,1222.85,53.73,0,0,28.82,30.98,0,0
TXN100189,871.73,20,0,electronics,emi,pos,35,2734,24,0,1,729.32,3.28,0,0,28.36,21.87,0,0
TXN100190,1798.48,9,4,electronics,netbanking,desktop,56,1802,18,0,4,3416.95,15.02,0,0,12.6,11.85,0,0
TXN100191,1360.34,5,0,education,upi,pos,53,2766,32,1,0,3849.56,24.18,0,0,23.16,29.27,0,0
TXN100192,128.46,19,1,gaming,wallet,pos,52,2695,32,0,1,223.79,13.09,0,0,11.54,25.46,0,0
TXN100193,665.84,8,0,entertainment,emi,desktop,38,2247,27,0,0,1256.3,22.73,0,0,44.71,20.5,0,0
TXN100194,222.2,3,3,entertainment,wallet,mobile,72,761,26,0,0,256.28,30.45,0,0,29.47,9.13,0,0
TXN100195,2528.6,2,1,utilities,emi,mobile,22,1539,27,0,1,1220.14,19.88,0,0,2.37,21.13,0,0
TXN100196,2206.92,16,5,gaming,wallet,mobile,37,2979,17,0,1,810.8,50.67,0,1,0.0,22.36,0,0
TXN100197,1482.69,9,4,travel,emi,tablet,24,1133,28,0,1,1017.9,1.62,0,0,23.55,9.34,0,0
TXN100198,4262.55,20,0,travel,upi,mobile,37,2409,25,0,1,3276.79,7.74,0,0,15.49,23.1,1,0
TXN100199,65.4,16,0,fashion,emi,desktop,72,3020,27,0,2,212.0,20.45,0,0,25.14,15.9,0,0
TXN100200,1298.88,18,5,entertainment,wallet,pos,38,1946,23,0,2,1938.66,3.63,0,1,16.99,6.77,0,0
TXN100201,276.67,12,1,grocery,upi,desktop,69,1851,21,0,2,168.83,24.25,0,0,48.45,22.53,0,0
TXN100202,1778.57,1,4,entertainment,emi,mobile,46,685,26,0,1,993.31,26.32,1,0,19.7,2.43,0,0
TXN100203,391.51,21,2,gaming,card,pos,57,1812,32,0,1,1004.89,6.36,0,0,15.0,17.99,0,0
TXN100204,2269.1,5,5,education,wallet,tablet,44,153,29,0,3,3517.42,3.99,0,0,38.74,3.85,0,0
TXN100205,513.76,1,5,electronics,card,pos,33,414,21,0,2,471.94,28.58,0,0,12.93,4.3,0,0
TXN100206,81.97,12,4,gaming,wallet,pos,61,1978,22,1,2,250.53,6.73,1,0,24.67,23.28,0,0
TXN100207,3042.6,3,4,entertainment,upi,mobile,73,797,35,0,1,5126.19,12.72,0,0,0.7,2.79,0,0
TXN100208,5341.65,8,2,food_delivery,netbanking,tablet,33,1268,18,0,1,1027.53,21.52,0,0,10.85,20.19,0,0
TXN100209,905.36,9,6,gaming,upi,mobile,62,1316,28,1,0,225.09,3.21,0,0,31.78,8.16,0,0
TXN100210,1142.46,2,2,entertainment,netbanking,tablet,32,1727,29,0,0,1536.05,7.94,0,1,10.72,31.27,0,0
TXN100211,1299.83,7,4,fashion,emi,pos,58,2551,24,4,1,702.89,9.34,0,1,48.27,16.64,0,1
TXN100212,417.46,22,1,gaming,wallet,pos,62,1628,25,0,0,340.41,10.84,0,0,25.69,0.0,0,0
TXN100213,1289.8,21,4,gaming,wallet,mobile,43,3085,34,1,3,1072.97,17.51,0,0,37.56,37.03,0,0
TXN100214,2110.88,20,4,electronics,upi,tablet,60,1760,24,0,1,2556.23,31.46,0,0,0.0,14.16,0,0
TXN100215,345.85,22,1,fashion,upi,tablet,33,3623,22,0,1,513.4,13.49,0,0,24.73,18.3,0,0
TXN100216,239.21,2,4,education,card,desktop,22,3648,25,0,2,402.08,15.11,0,0,24.77,31.67,0,0
TXN100217,446.31,14,6,entertainment,card,mobile,23,1560,30,0,3,368.35,25.95,0,1,21.25,21.28,0,0
TXN100218,587.28,12,4,electronics,card,tablet,43,2794,21,0,1,412.39,4.57,0,0,4.73,7.14,0,0
TXN100219,458.06,9,4,utilities,upi,pos,69,1654,23,0,1,251.63,4.17,0,0,17.15,0.0,0,0
TXN100220,4984.19,11,2,fashion,netbanking,desktop,25,3194,31,0,2,1038.48,1.83,0,0,39.63,1.26,0,0
TXN100221,7208.83,9,0,entertainment,upi,tablet,43,2796,34,0,0,1412.75,16.14,0,0,0.0,6.91,0,0
TXN100222,1337.32,10,5,gaming,emi,tablet,58,1235,24,1,1,865.36,16.93,0,0,9.28,12.79,0,0
TXN100223,172.36,1,3,education,emi,pos,29,1173,21,0,1,766.8,7.22,0,0,34.1,12.72,0,0
TXN100224,362.95,9,5,entertainment,wallet,desktop,59,3214,32,2,4,1760.04,3.58,0,1,25.38,4.18,0,0
TXN100225,332.77,19,2,electronics,card,mobile,35,1973,29,0,1,284.13,27.52,0,0,28.56,19.14,0,0
